source	x	y	sd	baseline	amplitude	r2
118	2.8191392	-2.9308903	0.49783003	-0.10606453	0.1550497	
119	1.5495089	-4.262963	0.11042281	-0.20156428	1.305952	
120	2.0843477	-4.672872	1.1931846	-0.46896464	0.4623695	0.5317036
121	3.7903206	2.426585	1.8054575	-0.113930084	0.048338085	0.074392855
122	2.2243292	-0.9663757	2.263594	-0.6957325	0.2107378	0.68269634
123	-6.209634	7.3391914	2.3827689	-0.1098371	0.21403655	0.09543979
124	1.1814076	-0.122813426	1.2861749	-0.21012197	0.08716868	0.20195389
125	0.8565491	0.1437582	0.79255074	-0.32368997	0.1639296	0.30383885
126	1.073132	0.56606925	1.3440065	-0.2199869	0.08861362	0.17873466
127	3.4759724	0.48432043	2.1956425	-0.22670239	0.07305923	0.19266838
128	3.216135	0.44257668	1.6598336	-0.40655965	0.16968934	0.47299135
129	3.0624127	0.12577163	1.3956214	-0.44775906	0.22309163	0.48220068
130	5.3711452	-0.87755525	2.1163776	-0.6843174	0.25054744	0.68176675
131	6.260175	-2.353093	2.5322325	-0.78568655	0.3057525	0.69414496
132	5.098838	-4.398974	1.9182616	-0.45954123	0.28240594	0.5271536
133	3.1727133	-3.5300996	1.0030913	-0.15309562	0.119176365	0.19227117
134	2.028924	-4.913082	0.5098125	-0.20296425	0.48695362	0.36179453
135	2.6600003	-6.182066	0.9771594	-0.35927305	2.1884453	0.5012921
136	2.1623323	-0.11683591	1.4998113	-0.19271803	0.0814661	0.19588888
137	1.845301	-1.1639025	1.8836087	-0.78297794	0.2719304	0.82076454
138	0.050141394	-4.537751	0.0726936	-0.03310861	0.3288664	
139	0.76373976	-3.608966	1.929168	-0.06903865	0.032194644	0.03194934
140	4.0567036	-0.39662126	2.1132011	-0.53711647	0.18385024	0.48835284
141	5.9335995	-0.7193755	2.2570865	-0.7397358	0.2682617	0.6617518
142	6.06863	-1.3735169	2.3757381	-0.75384706	0.27526563	0.66892314
143	5.743715	-3.6079998	2.0911024	-0.48154214	0.23658167	0.5427742
144	4.2650156	-7.8839545	2.1940012	-0.15223204	0.52557427	0.1416201
145	2.3438056	-5.375825	0.40275338	-0.13356839	1.1441473	
146	12.306777	4.018704	6.8652067	-0.20292911	0.14196767	0.1042887
147	1.8242716	-0.4986086	1.305934	-0.4181015	0.19537772	0.56589985
148	0.8489082	-0.26203427	0.6028932	-0.43749496	0.2789476	0.48469347
149	1.1020851	2.0274105	1.2699062	-0.17655656	0.09082616	0.24482054
150	3.7212832	0.35335514	1.5378634	-0.28826675	0.1334464	0.37776512
151	6.102392	-0.61816674	1.9977455	-0.62439525	0.24872924	0.6541225
152	8.452057	-2.0900435	2.9891717	-0.72293234	0.36953637	0.63237834
153	6.6995063	-5.759373	2.0469532	-0.44774982	0.50594264	0.53361154
154	7.8118887	-4.999948	0.063813515	-0.028037	0.19453903	
155	-8.958284	0.9399999	0.057485558	-0.045355655	0.29586035	
156	1.7875676	0.15359196	1.4510628	-0.5852091	0.24295434	0.64653337
157	4.5716963	2.4912074	0.094304614	-0.09571663	0.7879282	
158	-5.071511	-0.8066241	3.139323	-0.11626785	0.033098776	0.04938984
159	9.776089	-1.3049657	2.6881495	-0.6247306	0.48218885	0.610362
